월,직군,업무유형,처리건수,평균소요분,반복성,외부전달여부,비고
2026-04,영업,고객 문의 답변 초안,18,35,높음,예,영문 답변 비중 높음
2026-04,영업,제안서 목차 정리,7,90,중간,예,회사 템플릿 반영 필요
2026-04,재무,증빙 파일 확인,42,12,높음,아니오,파일명 규칙 불일치
2026-04,재무,월간 정산표 검토,6,110,중간,아니오,금액 검수 중요
2026-04,품질,불량 현상 메모 정리,11,55,중간,예,외부 공유 전 마스킹 필요
2026-04,품질,측정값 표 요약,9,70,중간,아니오,단위 확인 중요
2026-04,인사,교육 신청자 명단 정리,5,45,높음,아니오,중복 신청 확인 필요
2026-04,마케팅,시장 기사 요약,12,50,높음,아니오,출처 확인 필요
2026-05,영업,고객 문의 답변 초안,23,32,높음,예,파트너 문의 증가
2026-05,영업,제안서 목차 정리,8,85,중간,예,고객별 강조점 다름
2026-05,재무,증빙 파일 확인,39,14,높음,아니오,누락 파일 확인 필요
2026-05,재무,월간 정산표 검토,6,105,중간,아니오,전월 대비 차이 설명 필요
2026-05,품질,불량 현상 메모 정리,14,60,중간,예,원인 단정 금지
2026-05,품질,측정값 표 요약,10,68,중간,아니오,이상값 표시 필요
2026-05,인사,교육 신청자 명단 정리,8,40,높음,아니오,부서별 집계 필요
2026-05,마케팅,시장 기사 요약,15,48,높음,아니오,중복 기사 제거 필요
2026-06,영업,고객 문의 답변 초안,21,34,높음,예,영문 답변 검수 필요
2026-06,영업,제안서 목차 정리,9,80,중간,예,보안 표현 검토 필요
2026-06,재무,증빙 파일 확인,45,13,높음,아니오,파일명 자동 점검 가능
2026-06,재무,월간 정산표 검토,7,100,중간,아니오,요약 문장 작성 부담
2026-06,품질,불량 현상 메모 정리,13,58,중간,예,고객용 표현 분리 필요
2026-06,품질,측정값 표 요약,12,65,중간,아니오,규격 기준 확인 필요
2026-06,인사,교육 신청자 명단 정리,10,38,높음,아니오,참석률 보고 필요
2026-06,마케팅,시장 기사 요약,16,46,높음,아니오,핵심 키워드 분류 필요
